Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance
7/6/2019 0:00,AUDL,Indianapolis AlleyCats,61,D,0,1,Defense,Pull,,,Jimmy,7.462,Seth,Furse,JVal,Slymer,Ross,Dave,Jimmy,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
7/6/2019 0:00,AUDL,Indianapolis AlleyCats,61,D,0,1,Defense,Goal,,,Anonymous,,Seth,Furse,JVal,Slymer,Ross,Dave,Jimmy,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,
7/6/2019 0:00,AUDL,Indianapolis AlleyCats,81,O,0,2,Offense,Catch,Janas,Tommy,,,Danny,Fergus,Goff,Janas,Pardo,Jack,Tommy,,,,,,,,,,,,,,,,,,,,,,113,,,,,,,,,,
7/6/2019 0:00,AUDL,Indianapolis AlleyCats,81,O,0,2,Offense,Catch,Tommy,Janas,,,Danny,Fergus,Goff,Janas,Pardo,Jack,Tommy,,,,,,,,,,,,,,,,,,,,,,122,,,,,,,,,,
7/6/2019 0:00,AUDL,Indianapolis AlleyCats,81,O,0,2,Offense,Catch,Janas,Tommy,,,Danny,Fergus,Goff,Janas,Pardo,Jack,Tommy,,,,,,,,,,,,,,,,,,,,,,126,,,,,,,,,,
7/6/2019 0:00,AUDL,Indianapolis AlleyCats,81,O,0,2,Offense,Catch,Tommy,Jack,,,Danny,Fergus,Goff,Janas,Pardo,Jack,Tommy,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,
7/6/2019 0:00,AUDL,Indianapolis AlleyCats,81,O,0,2,Offense,Catch,Jack,Danny,,,Danny,Fergus,Goff,Janas,Pardo,Jack,Tommy,,,,,,,,,,,,,,,,,,,,,,134,,,,,,,,,,
7/6/2019 0:00,AUDL,Indianapolis AlleyCats,81,O,0,2,Offense,Catch,Danny,Tommy,,,Danny,Fergus,Goff,Janas,Pardo,Jack,Tommy,,,,,,,,,,,,,,,,,,,,,,138,,,,,,,,,,
7/6/2019 0:00,AUDL,Indianapolis AlleyCats,81,O,0,2,Offense,Catch,Tommy,Goff,,,Danny,Fergus,Goff,Janas,Pardo,Jack,Tommy,,,,,,,,,,,,,,,,,,,,,,142,,,,,,,,,,
7/6/2019 0:00,AUDL,Indianapolis AlleyCats,81,O,0,2,Offense,Drop,Goff,Pardo,,,Danny,Fergus,Goff,Janas,Pardo,Jack,Tommy,,,,,,,,,,,,,,,,,,,,,,146,,,,,,,,,,
7/6/2019 0:00,AUDL,Indianapolis AlleyCats,81,O,0,2,Defense,Goal,,,Anonymous,,Danny,Fergus,Goff,Janas,Pardo,Jack,Tommy,,,,,,,,,,,,,,,,,,,,,,192,,,,,,,,,,
7/6/2019 0:00,AUDL,Indianapolis AlleyCats,48,O,1,2,Offense,Catch,Fergus,Tommy,,,Fergus,Goff,Janas,Pardo,Brad,Jack,Tommy,,,,,,,,,,,,,,,,,,,,,,257,,,,,,,,,,
7/6/2019 0:00,AUDL,Indianapolis AlleyCats,48,O,1,2,Offense,Catch,Tommy,Pardo,,,Fergus,Goff,Janas,Pardo,Brad,Jack,Tommy,,,,,,,,,,,,,,,,,,,,,,270,,,,,,,,,,
7/6/2019 0:00,AUDL,Indianapolis AlleyCats,48,O,1,2,Offense,Catch,Pardo,Goff,,,Fergus,Goff,Janas,Pardo,Brad,Jack,Tommy,,,,,,,,,,,,,,,,,,,,,,284,,,,,,,,,,
7/6/2019 0:00,AUDL,Indianapolis AlleyCats,48,O,1,2,Offense,Catch,Goff,Janas,,,Fergus,Goff,Janas,Pardo,Brad,Jack,Tommy,,,,,,,,,,,,,,,,,,,,,,289,,,,,,,,,,
7/6/2019 0:00,AUDL,Indianapolis AlleyCats,48,O,1,2,Offense,Catch,Janas,Goff,,,Fergus,Goff,Janas,Pardo,Brad,Jack,Tommy,,,,,,,,,,,,,,,,,,,,,,292,,,,,,,,,,
7/6/2019 0:00,AUDL,Indianapolis AlleyCats,48,O,1,2,Offense,Goal,Goff,Fergus,,,Fergus,Goff,Janas,Pardo,Brad,Jack,Tommy,,,,,,,,,,,,,,,,,,,,,,303,,,,,,,,,,
