Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance
5/4/2019 0:00,AUDL 2019,Montreal Royal,43,O,1,0,Offense,Catch,Cody J,Nate P,,,Matt N,Nate P,Garret B,Rowan M,Jarrod B,Cody J,Max C,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
5/4/2019 0:00,AUDL 2019,Montreal Royal,43,O,1,0,Offense,Catch,Nate P,Cody J,,,Matt N,Nate P,Garret B,Rowan M,Jarrod B,Cody J,Max C,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,
5/4/2019 0:00,AUDL 2019,Montreal Royal,43,O,1,0,Offense,Catch,Cody J,Max C,,,Matt N,Nate P,Garret B,Rowan M,Jarrod B,Cody J,Max C,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,
5/4/2019 0:00,AUDL 2019,Montreal Royal,43,O,1,0,Offense,Catch,Max C,Garret B,,,Matt N,Nate P,Garret B,Rowan M,Jarrod B,Cody J,Max C,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,
5/4/2019 0:00,AUDL 2019,Montreal Royal,43,O,1,0,Offense,Catch,Garret B,Rowan M,,,Matt N,Nate P,Garret B,Rowan M,Jarrod B,Cody J,Max C,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,
5/4/2019 0:00,AUDL 2019,Montreal Royal,43,O,1,0,Offense,Catch,Rowan M,Nate P,,,Matt N,Nate P,Garret B,Rowan M,Jarrod B,Cody J,Max C,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,
5/4/2019 0:00,AUDL 2019,Montreal Royal,43,O,1,0,Offense,Catch,Nate P,Max C,,,Matt N,Nate P,Garret B,Rowan M,Jarrod B,Cody J,Max C,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,
5/4/2019 0:00,AUDL 2019,Montreal Royal,43,O,1,0,Offense,Catch,Max C,Cody J,,,Matt N,Nate P,Garret B,Rowan M,Jarrod B,Cody J,Max C,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,
5/4/2019 0:00,AUDL 2019,Montreal Royal,43,O,1,0,Offense,Catch,Cody J,Nate P,,,Matt N,Nate P,Garret B,Rowan M,Jarrod B,Cody J,Max C,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,
5/4/2019 0:00,AUDL 2019,Montreal Royal,43,O,1,0,Offense,Goal,Nate P,Garret B,,,Matt N,Nate P,Garret B,Rowan M,Jarrod B,Cody J,Max C,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,
5/4/2019 0:00,AUDL 2019,Montreal Royal,81,D,1,1,Defense,Pull,,,David B,7.848,Matt C,Ray M,AJ M,Dane W,Leo P,David S,David B,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,
5/4/2019 0:00,AUDL 2019,Montreal Royal,81,D,1,1,Defense,Goal,,,Anonymous,,Matt C,Ray M,AJ M,Dane W,Leo P,David S,David B,,,,,,,,,,,,,,,,,,,,,,175,,,,,,,,,,
5/4/2019 0:00,AUDL 2019,Montreal Royal,371,O,1,2,Offense,Catch,Cody J,Nate P,,,Matt C,Garret B,Ray M,Peter M,AJ M,David B,Cody J,Max C,Matt N,Nate P,Rowan M,Dane W,Leo P,Jarrod B,David S,,,,,,,,,,,,,,224,,,,,,,,,,
5/4/2019 0:00,AUDL 2019,Montreal Royal,371,O,1,2,Offense,Catch,Nate P,Cody J,,,Matt C,Garret B,Ray M,Peter M,AJ M,David B,Cody J,Max C,Matt N,Nate P,Rowan M,Dane W,Leo P,Jarrod B,David S,,,,,,,,,,,,,,236,,,,,,,,,,
5/4/2019 0:00,AUDL 2019,Montreal Royal,371,O,1,2,Offense,Catch,Cody J,Nate P,,,Matt C,Garret B,Ray M,Peter M,AJ M,David B,Cody J,Max C,Matt N,Nate P,Rowan M,Dane W,Leo P,Jarrod B,David S,,,,,,,,,,,,,,240,,,,,,,,,,
5/4/2019 0:00,AUDL 2019,Montreal Royal,371,O,1,2,Offense,Catch,Nate P,Cody J,,,Matt C,Garret B,Ray M,Peter M,AJ M,David B,Cody J,Max C,Matt N,Nate P,Rowan M,Dane W,Leo P,Jarrod B,David S,,,,,,,,,,,,,,243,,,,,,,,,,
