Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance
6/1/2019 0:00,AUDL,DC Breeze,21,D,0,1,Defense,Pull,,,Alorro J,4.699,Lemar M,Kittre B,Alorro J,Drost R,Katz B,Drost M,Babbit J,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6/1/2019 0:00,AUDL,DC Breeze,21,D,0,1,Defense,Goal,,,Anonymous,,Lemar M,Kittre B,Alorro J,Drost R,Katz B,Drost M,Babbit J,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,
6/1/2019 0:00,AUDL,DC Breeze,23,O,0,2,Offense,Catch,Lee E,Garvey H,,,Steven M,Jagt B,Isik A,Garvey H,Lee E,,,,,,,,,,,,,,,,,,,,,,,,190,,,,,,,,,,
6/1/2019 0:00,AUDL,DC Breeze,23,O,0,2,Offense,Catch,Garvey H,Mieser J,,,Steven M,Jagt B,Isik A,Garvey H,Lee E,,,,,,,,,,,,,,,,,,,,,,,,199,,,,,,,,,,
6/1/2019 0:00,AUDL,DC Breeze,23,O,0,2,Offense,Catch,Mieser J,Lee E,,,Steven M,Jagt B,Isik A,Garvey H,Lee E,,,,,,,,,,,,,,,,,,,,,,,,203,,,,,,,,,,
6/1/2019 0:00,AUDL,DC Breeze,23,O,0,2,Offense,Throwaway,Lee E,Anonymous,,,Steven M,Jagt B,Isik A,Garvey H,Lee E,,,,,,,,,,,,,,,,,,,,,,,,207,,,,,,,,,,
6/1/2019 0:00,AUDL,DC Breeze,23,O,0,2,Defense,Goal,,,Anonymous,,Steven M,Jagt B,Isik A,Garvey H,Lee E,,,,,,,,,,,,,,,,,,,,,,,,211,,,,,,,,,,
6/1/2019 0:00,AUDL,DC Breeze,7,O,1,2,Offense,Goal,Garvey H,Jagt B,,,Steven M,Katz B,Jagt B,Isik A,Garvey H,Lee E,,,,,,,,,,,,,,,,,,,,,,,272,,,,,,,,,,
6/1/2019 0:00,AUDL,DC Breeze,10,D,1,3,Defense,Pull,,,Brownl M,2.165,Weintr M,Alacro A,Feder S,Kline C,Brownl M,Babbit J,Brown R,,,,,,,,,,,,,,,,,,,,,,331,,,,,,,,,,
6/1/2019 0:00,AUDL,DC Breeze,10,D,1,3,Defense,Goal,,,Anonymous,,Weintr M,Alacro A,Feder S,Kline C,Brownl M,Babbit J,Brown R,,,,,,,,,,,,,,,,,,,,,,339,,,,,,,,,,
6/1/2019 0:00,AUDL,DC Breeze,73,O,1,4,Offense,Catch,Lee E,Garvey H,,,Steven M,Mieser J,Jagt B,Isik A,Garvey H,Lee E,,,,,,,,,,,,,,,,,,,,,,,385,,,,,,,,,,
6/1/2019 0:00,AUDL,DC Breeze,73,O,1,4,Offense,Catch,Garvey H,Lee E,,,Steven M,Mieser J,Jagt B,Isik A,Garvey H,Lee E,,,,,,,,,,,,,,,,,,,,,,,394,,,,,,,,,,
6/1/2019 0:00,AUDL,DC Breeze,73,O,1,4,Offense,Catch,Lee E,Garvey H,,,Steven M,Mieser J,Jagt B,Isik A,Garvey H,Lee E,,,,,,,,,,,,,,,,,,,,,,,398,,,,,,,,,,
6/1/2019 0:00,AUDL,DC Breeze,73,O,1,4,Offense,Throwaway,Garvey H,Anonymous,,,Steven M,Mieser J,Jagt B,Isik A,Garvey H,Lee E,,,,,,,,,,,,,,,,,,,,,,,402,,,,,,,,,,
6/1/2019 0:00,AUDL,DC Breeze,73,O,1,4,Defense,Goal,,,Anonymous,,Steven M,Mieser J,Jagt B,Isik A,Garvey H,Lee E,,,,,,,,,,,,,,,,,,,,,,,456,,,,,,,,,,
6/1/2019 0:00,AUDL,DC Breeze,20,O,2,4,Offense,Catch,Garvey H,Lee E,,,Katz B,Willia J,Jagt B,Kline C,Garvey H,Babbit J,Lee E,,,,,,,,,,,,,,,,,,,,,,544,,,,,,,,,,
