Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance
4/20/2019 0:00,,DC Breeze,88,O,0,1,Offense,Catch,Fortin,Weaver,,,Mehta,Weaver,Fortin,Trey,Mott,Peck,Sickles,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
4/20/2019 0:00,,DC Breeze,88,O,0,1,Offense,Catch,Weaver,Fortin,,,Mehta,Weaver,Fortin,Trey,Mott,Peck,Sickles,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,
4/20/2019 0:00,,DC Breeze,88,O,0,1,Offense,Catch,Fortin,Weaver,,,Mehta,Weaver,Fortin,Trey,Mott,Peck,Sickles,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,
4/20/2019 0:00,,DC Breeze,88,O,0,1,Offense,Catch,Weaver,Fortin,,,Mehta,Weaver,Fortin,Trey,Mott,Peck,Sickles,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,
4/20/2019 0:00,,DC Breeze,88,O,0,1,Offense,Catch,Fortin,Mehta,,,Mehta,Weaver,Fortin,Trey,Mott,Peck,Sickles,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,
4/20/2019 0:00,,DC Breeze,88,O,0,1,Offense,Catch,Mehta,Sickles,,,Mehta,Weaver,Fortin,Trey,Mott,Peck,Sickles,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,
4/20/2019 0:00,,DC Breeze,88,O,0,1,Offense,Catch,Sickles,Mehta,,,Mehta,Weaver,Fortin,Trey,Mott,Peck,Sickles,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,
4/20/2019 0:00,,DC Breeze,88,O,0,1,Offense,Catch,Mehta,Trey,,,Mehta,Weaver,Fortin,Trey,Mott,Peck,Sickles,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,
4/20/2019 0:00,,DC Breeze,88,O,0,1,Offense,Catch,Trey,Weaver,,,Mehta,Weaver,Fortin,Trey,Mott,Peck,Sickles,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,
4/20/2019 0:00,,DC Breeze,88,O,0,1,Offense,Throwaway,Weaver,Anonymous,,,Mehta,Weaver,Fortin,Trey,Mott,Peck,Sickles,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,
4/20/2019 0:00,,DC Breeze,88,O,0,1,Defense,Goal,,,Anonymous,,Mehta,Weaver,Fortin,Trey,Mott,Peck,Sickles,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,
4/20/2019 0:00,,DC Breeze,95,O,1,1,Offense,Catch,Weaver,Sickles,,,Weaver,Arcata,Fortin,Damiano,Mott,Peck,Sickles,,,,,,,,,,,,,,,,,,,,,,158,,,,,,,,,,
4/20/2019 0:00,,DC Breeze,95,O,1,1,Offense,Catch,Sickles,Mott,,,Weaver,Arcata,Fortin,Damiano,Mott,Peck,Sickles,,,,,,,,,,,,,,,,,,,,,,167,,,,,,,,,,
4/20/2019 0:00,,DC Breeze,95,O,1,1,Offense,Catch,Mott,Fortin,,,Weaver,Arcata,Fortin,Damiano,Mott,Peck,Sickles,,,,,,,,,,,,,,,,,,,,,,171,,,,,,,,,,
4/20/2019 0:00,,DC Breeze,95,O,1,1,Offense,Catch,Fortin,Weaver,,,Weaver,Arcata,Fortin,Damiano,Mott,Peck,Sickles,,,,,,,,,,,,,,,,,,,,,,175,,,,,,,,,,
4/20/2019 0:00,,DC Breeze,95,O,1,1,Offense,Catch,Weaver,Arcata,,,Weaver,Arcata,Fortin,Damiano,Mott,Peck,Sickles,,,,,,,,,,,,,,,,,,,,,,179,,,,,,,,,,
4/20/2019 0:00,,DC Breeze,95,O,1,1,Offense,Catch,Arcata,Fortin,,,Weaver,Arcata,Fortin,Damiano,Mott,Peck,Sickles,,,,,,,,,,,,,,,,,,,,,,183,,,,,,,,,,
4/20/2019 0:00,,DC Breeze,95,O,1,1,Offense,Catch,Fortin,Weaver,,,Weaver,Arcata,Fortin,Damiano,Mott,Peck,Sickles,,,,,,,,,,,,,,,,,,,,,,187,,,,,,,,,,
4/20/2019 0:00,,DC Breeze,95,O,1,1,Offense,Catch,Mehta,Weaver,,,Weaver,Arcata,Fortin,Damiano,Mott,Peck,Sickles,,,,,,,,,,,,,,,,,,,,,,202,,,,,,,,,,
4/20/2019 0:00,,DC Breeze,95,O,1,1,Offense,Throwaway,Weaver,Anonymous,,,Weaver,Arcata,Fortin,Damiano,Mott,Peck,Sickles,,,,,,,,,,,,,,,,,,,,,,205,,,,,,,,,,
4/20/2019 0:00,,DC Breeze,95,O,1,1,Defense,D,,,Sickles,,Weaver,Arcata,Fortin,Damiano,Mott,Peck,Sickles,,,,,,,,,,,,,,,,,,,,,,225,,,,,,,,,,
4/20/2019 0:00,,DC Breeze,95,O,1,1,Offense,Catch,Mott,Fortin,,,Weaver,Arcata,Fortin,Damiano,Mott,Peck,Sickles,,,,,,,,,,,,,,,,,,,,,,235,,,,,,,,,,
