Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance
4/20/2019 0:00,,Madison Radicals,63,D,0,1,Defense,Pull,,,Sheppa M,8.047,McMull P,Mogiel S,Halvor R,Thomas A,Graber C,Repper A,Sheppa M,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
4/20/2019 0:00,,Madison Radicals,63,D,0,1,Defense,Goal,,,Anonymous,,McMull P,Mogiel S,Halvor R,Thomas A,Graber C,Repper A,Sheppa M,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,
4/20/2019 0:00,,Madison Radicals,70,O,1,1,Offense,Catch,Edmond T,Mast J,,,Burgee A,Fedore M,Edmond T,Towle J,Watt O,Best D,Mast J,,,,,,,,,,,,,,,,,,,,,,126,,,,,,,,,,
4/20/2019 0:00,,Madison Radicals,70,O,1,1,Offense,Catch,Mast J,Watt O,,,Burgee A,Fedore M,Edmond T,Towle J,Watt O,Best D,Mast J,,,,,,,,,,,,,,,,,,,,,,137,,,,,,,,,,
4/20/2019 0:00,,Madison Radicals,70,O,1,1,Offense,Catch,Watt O,Towle J,,,Burgee A,Fedore M,Edmond T,Towle J,Watt O,Best D,Mast J,,,,,,,,,,,,,,,,,,,,,,141,,,,,,,,,,
4/20/2019 0:00,,Madison Radicals,70,O,1,1,Offense,Catch,Towle J,Watt O,,,Burgee A,Fedore M,Edmond T,Towle J,Watt O,Best D,Mast J,,,,,,,,,,,,,,,,,,,,,,146,,,,,,,,,,
4/20/2019 0:00,,Madison Radicals,70,O,1,1,Offense,Catch,Watt O,Edmond T,,,Burgee A,Fedore M,Edmond T,Towle J,Watt O,Best D,Mast J,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,
4/20/2019 0:00,,Madison Radicals,70,O,1,1,Offense,Catch,Edmond T,Mast J,,,Burgee A,Fedore M,Edmond T,Towle J,Watt O,Best D,Mast J,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,
4/20/2019 0:00,,Madison Radicals,70,O,1,1,Offense,Catch,Mast J,Edmond T,,,Burgee A,Fedore M,Edmond T,Towle J,Watt O,Best D,Mast J,,,,,,,,,,,,,,,,,,,,,,158,,,,,,,,,,
4/20/2019 0:00,,Madison Radicals,70,O,1,1,Offense,Catch,Edmond T,Mast J,,,Burgee A,Fedore M,Edmond T,Towle J,Watt O,Best D,Mast J,,,,,,,,,,,,,,,,,,,,,,162,,,,,,,,,,
4/20/2019 0:00,,Madison Radicals,70,O,1,1,Offense,Catch,Mast J,Edmond T,,,Burgee A,Fedore M,Edmond T,Towle J,Watt O,Best D,Mast J,,,,,,,,,,,,,,,,,,,,,,166,,,,,,,,,,
4/20/2019 0:00,,Madison Radicals,70,O,1,1,Offense,Catch,Edmond T,Mast J,,,Burgee A,Fedore M,Edmond T,Towle J,Watt O,Best D,Mast J,,,,,,,,,,,,,,,,,,,,,,170,,,,,,,,,,
4/20/2019 0:00,,Madison Radicals,70,O,1,1,Offense,Catch,Mast J,Edmond T,,,Burgee A,Fedore M,Edmond T,Towle J,Watt O,Best D,Mast J,,,,,,,,,,,,,,,,,,,,,,174,,,,,,,,,,
4/20/2019 0:00,,Madison Radicals,70,O,1,1,Offense,Catch,Edmond T,Mast J,,,Burgee A,Fedore M,Edmond T,Towle J,Watt O,Best D,Mast J,,,,,,,,,,,,,,,,,,,,,,178,,,,,,,,,,
4/20/2019 0:00,,Madison Radicals,70,O,1,1,Offense,Catch,Mast J,Edmond T,,,Burgee A,Fedore M,Edmond T,Towle J,Watt O,Best D,Mast J,,,,,,,,,,,,,,,,,,,,,,182,,,,,,,,,,
4/20/2019 0:00,,Madison Radicals,70,O,1,1,Offense,Catch,Edmond T,Best D,,,Burgee A,Fedore M,Edmond T,Towle J,Watt O,Best D,Mast J,,,,,,,,,,,,,,,,,,,,,,186,,,,,,,,,,
4/20/2019 0:00,,Madison Radicals,70,O,1,1,Offense,Catch,Best D,Fedore M,,,Burgee A,Fedore M,Edmond T,Towle J,Watt O,Best D,Mast J,,,,,,,,,,,,,,,,,,,,,,190,,,,,,,,,,
4/20/2019 0:00,,Madison Radicals,70,O,1,1,Offense,Goal,Fedore M,Towle J,,,Burgee A,Fedore M,Edmond T,Towle J,Watt O,Best D,Mast J,,,,,,,,,,,,,,,,,,,,,,194,,,,,,,,,,
4/20/2019 0:00,,Madison Radicals,80,D,1,2,Defense,PullOb,,,Sheppa M,,McMull P,Mogiel S,Halvor R,Thomas A,Graber C,Repper A,Sheppa M,,,,,,,,,,,,,,,,,,,,,,256,,,,,,,,,,
4/20/2019 0:00,,Madison Radicals,80,D,1,2,Defense,D,,,Repper A,,McMull P,Mogiel S,Halvor R,Thomas A,Graber C,Repper A,Sheppa M,,,,,,,,,,,,,,,,,,,,,,279,,,,,,,,,,
4/20/2019 0:00,,Madison Radicals,80,D,1,2,Offense,Catch,Sheppa M,Thomas A,,,McMull P,Mogiel S,Halvor R,Thomas A,Graber C,Repper A,Sheppa M,,,,,,,,,,,,,,,,,,,,,,288,,,,,,,,,,
4/20/2019 0:00,,Madison Radicals,80,D,1,2,Offense,Catch,Thomas A,Halvor R,,,McMull P,Mogiel S,Halvor R,Thomas A,Graber C,Repper A,Sheppa M,,,,,,,,,,,,,,,,,,,,,,293,,,,,,,,,,
4/20/2019 0:00,,Madison Radicals,80,D,1,2,Offense,Catch,Halvor R,Mogiel S,,,McMull P,Mogiel S,Halvor R,Thomas A,Graber C,Repper A,Sheppa M,,,,,,,,,,,,,,,,,,,,,,297,,,,,,,,,,
4/20/2019 0:00,,Madison Radicals,80,D,1,2,Offense,Throwaway,Mogiel S,Anonymous,,,McMull P,Mogiel S,Halvor R,Thomas A,Graber C,Repper A,Sheppa M,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,
