Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance
4/20/2019 0:00,,Los Angeles Aviators,26,O,1,0,Offense,Catch,Lim,Smart,,,Phan,Lim,Houser,Geertz,Boychuk,Smart,Fox,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
4/20/2019 0:00,,Los Angeles Aviators,26,O,1,0,Offense,Catch,Smart,Phan,,,Phan,Lim,Houser,Geertz,Boychuk,Smart,Fox,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,
4/20/2019 0:00,,Los Angeles Aviators,26,O,1,0,Offense,Catch,Phan,Houser,,,Phan,Lim,Houser,Geertz,Boychuk,Smart,Fox,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,
4/20/2019 0:00,,Los Angeles Aviators,26,O,1,0,Offense,Catch,Houser,Boychuk,,,Phan,Lim,Houser,Geertz,Boychuk,Smart,Fox,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,
4/20/2019 0:00,,Los Angeles Aviators,26,O,1,0,Offense,Catch,Boychuk,Fox,,,Phan,Lim,Houser,Geertz,Boychuk,Smart,Fox,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,
4/20/2019 0:00,,Los Angeles Aviators,26,O,1,0,Offense,Goal,Fox,Houser,,,Phan,Lim,Houser,Geertz,Boychuk,Smart,Fox,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,
4/20/2019 0:00,,Los Angeles Aviators,12,D,1,1,Defense,Pull,,,Worthing,3.301,Worthing,Munoz,Casio,Mahan,Taggart,CharlieM,June R,,,,,,,,,,,,,,,,,,,,,,212,,,,,,,,,,
4/20/2019 0:00,,Los Angeles Aviators,12,D,1,1,Defense,Goal,,,Anonymous,,Worthing,Munoz,Casio,Mahan,Taggart,CharlieM,June R,,,,,,,,,,,,,,,,,,,,,,222,,,,,,,,,,
4/20/2019 0:00,,Los Angeles Aviators,11,O,2,1,Offense,Catch,Smart,Segal,,,Phan,Lim,Segal,Coffin,Houser,Boychuk,Smart,,,,,,,,,,,,,,,,,,,,,,251,,,,,,,,,,
4/20/2019 0:00,,Los Angeles Aviators,11,O,2,1,Offense,Goal,Segal,Boychuk,,,Phan,Lim,Segal,Coffin,Houser,Boychuk,Smart,,,,,,,,,,,,,,,,,,,,,,260,,,,,,,,,,
4/20/2019 0:00,,Los Angeles Aviators,44,D,2,2,Defense,PullOb,,,Worthing,,Worthing,Xtehn,Munoz,Eide,Casio,Sabin,Mahan,,,,,,,,,,,,,,,,,,,,,,315,,,,,,,,,,
4/20/2019 0:00,,Los Angeles Aviators,44,D,2,2,Defense,Goal,,,Anonymous,,Worthing,Xtehn,Munoz,Eide,Casio,Sabin,Mahan,,,,,,,,,,,,,,,,,,,,,,357,,,,,,,,,,
4/20/2019 0:00,,Los Angeles Aviators,52,O,2,3,Offense,Catch,Smart,Phan,,,Phan,Segal,Houser,Geertz,Boychuk,Smart,Fox,,,,,,,,,,,,,,,,,,,,,,414,,,,,,,,,,
4/20/2019 0:00,,Los Angeles Aviators,52,O,2,3,Offense,Catch,Phan,Houser,,,Phan,Segal,Houser,Geertz,Boychuk,Smart,Fox,,,,,,,,,,,,,,,,,,,,,,423,,,,,,,,,,
4/20/2019 0:00,,Los Angeles Aviators,52,O,2,3,Offense,Catch,Houser,Fox,,,Phan,Segal,Houser,Geertz,Boychuk,Smart,Fox,,,,,,,,,,,,,,,,,,,,,,427,,,,,,,,,,
4/20/2019 0:00,,Los Angeles Aviators,52,O,2,3,Offense,Catch,Fox,Phan,,,Phan,Segal,Houser,Geertz,Boychuk,Smart,Fox,,,,,,,,,,,,,,,,,,,,,,431,,,,,,,,,,
4/20/2019 0:00,,Los Angeles Aviators,52,O,2,3,Offense,Throwaway,Phan,Anonymous,,,Phan,Segal,Houser,Geertz,Boychuk,Smart,Fox,,,,,,,,,,,,,,,,,,,,,,435,,,,,,,,,,
4/20/2019 0:00,,Los Angeles Aviators,52,O,2,3,Defense,Goal,,,Anonymous,,Phan,Segal,Houser,Geertz,Boychuk,Smart,Fox,,,,,,,,,,,,,,,,,,,,,,464,,,,,,,,,,
4/20/2019 0:00,,Los Angeles Aviators,20,O,3,3,Offense,Catch,Lim,Phan,,,Phan,Lim,Coffin,Houser,Sabin,Geertz,CharlieM,,,,,,,,,,,,,,,,,,,,,,506,,,,,,,,,,
