Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance
6/22/2019 0:00,AUDL,Dallas Roughnecks,71,D,0,1,Defense,Pull,,,Dustin,5.796,Roney,Patterso,Dustin,Lootens,Clary,Anderson,O'Bryan,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,71,D,0,1,Defense,Goal,,,Anonymous,,Roney,Patterso,Dustin,Lootens,Clary,Anderson,O'Bryan,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,43,O,1,1,Offense,Catch,Roney,Repasky,,,Roney,Hiser,Dustin,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,43,O,1,1,Offense,Catch,Repasky,Roney,,,Roney,Hiser,Dustin,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,43,O,1,1,Offense,Throwaway,Roney,Anonymous,,,Roney,Hiser,Dustin,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,43,O,1,1,Defense,Throwaway,,,Anonymous,,Roney,Hiser,Dustin,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,127,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,43,O,1,1,Offense,Goal,Vickroy,Lane,,,Roney,Hiser,Dustin,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,70,D,1,2,Defense,Pull,,,Dustin,6.578,Franklin,Patterso,Dustin,Lootens,Clary,O'Bryan,Patel,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,70,D,1,2,Defense,Goal,,,Anonymous,,Franklin,Patterso,Dustin,Lootens,Clary,O'Bryan,Patel,,,,,,,,,,,,,,,,,,,,,,248,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,18,O,2,2,Offense,Catch,Roney,Anonymous,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,O'Bryan,,,,,,,,,,,,,,,,,,,,,,328,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,18,O,2,2,Offense,Catch,Anonymous,Franklin,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,O'Bryan,,,,,,,,,,,,,,,,,,,,,,336,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,18,O,2,2,Offense,Catch,Franklin,Anonymous,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,O'Bryan,,,,,,,,,,,,,,,,,,,,,,340,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,18,O,2,2,Offense,Goal,Anonymous,Seuntjen,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,O'Bryan,,,,,,,,,,,,,,,,,,,,,,344,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,36,D,2,3,Defense,Pull,,,Patel,2.963,Gray,Lootens,McKisic,Lane,Anderson,Chard,Patel,,,,,,,,,,,,,,,,,,,,,,397,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,36,D,2,3,Defense,Goal,,,Anonymous,,Gray,Lootens,McKisic,Lane,Anderson,Chard,Patel,,,,,,,,,,,,,,,,,,,,,,431,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,39,O,3,3,Offense,Catch,Roney,Vickroy,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,489,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,39,O,3,3,Offense,Catch,Vickroy,Seuntjen,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,498,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,39,O,3,3,Offense,Catch,Seuntjen,Repasky,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,502,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,39,O,3,3,Offense,Catch,Repasky,Vickroy,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,506,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,39,O,3,3,Offense,Catch,Vickroy,Roney,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,510,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,39,O,3,3,Offense,Catch,Roney,Vickroy,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,514,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,39,O,3,3,Offense,Catch,Vickroy,Franklin,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,518,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,39,O,3,3,Offense,Catch,Franklin,Roney,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,522,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,39,O,3,3,Offense,Goal,Roney,Repasky,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,526,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,28,D,3,4,Defense,Pull,,,Dustin,8.319,Gray,Patterso,Dustin,Lootens,Clary,O'Bryan,Chard,,,,,,,,,,,,,,,,,,,,,,587,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,28,D,3,4,Defense,Goal,,,Anonymous,,Gray,Patterso,Dustin,Lootens,Clary,O'Bryan,Chard,,,,,,,,,,,,,,,,,,,,,,613,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,97,O,4,4,Offense,Catch,Hiser,Roney,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,666,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,97,O,4,4,Offense,Catch,Roney,Hiser,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,675,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,97,O,4,4,Offense,Catch,Hiser,Roney,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,678,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,97,O,4,4,Offense,Catch,Roney,Hiser,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,685,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,97,O,4,4,Offense,Catch,Hiser,Roney,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,689,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,97,O,4,4,Offense,Catch,Roney,Vickroy,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,693,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,97,O,4,4,Offense,Catch,Vickroy,Roney,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,699,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,97,O,4,4,Offense,Throwaway,Roney,Anonymous,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,702,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,97,O,4,4,Defense,Throwaway,,,Anonymous,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,747,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,97,O,4,4,Offense,Catch,Roney,Vickroy,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,758,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,97,O,4,4,Offense,Goal,Vickroy,Seuntjen,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,761,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,19,D,4,5,Defense,Pull,,,Dustin,7.213,Gray,Patterso,Dustin,Lootens,Clary,O'Bryan,Chard,,,,,,,,,,,,,,,,,,,,,,820,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,19,D,4,5,Defense,Goal,,,Anonymous,,Gray,Patterso,Dustin,Lootens,Clary,O'Bryan,Chard,,,,,,,,,,,,,,,,,,,,,,837,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,66,O,4,6,Offense,Catch,Roney,Vickroy,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,902,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,66,O,4,6,Offense,Throwaway,Vickroy,Anonymous,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,916,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,66,O,4,6,Defense,D,,,Vickroy,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,938,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,66,O,4,6,Offense,Throwaway,Vickroy,Anonymous,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,943,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,66,O,4,6,Defense,Goal,,,Anonymous,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,966,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,62,O,5,6,Offense,Catch,Lane,Roney,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,1023,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,62,O,5,6,Offense,Catch,Roney,Lane,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,1032,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,62,O,5,6,Offense,Catch,Lane,Franklin,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,1037,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,62,O,5,6,Offense,Catch,Franklin,Vickroy,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,1040,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,62,O,5,6,Offense,Catch,Vickroy,Roney,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,1043,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,62,O,5,6,Offense,Drop,Roney,Repasky,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,1051,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,62,O,5,6,Defense,D,,,Roney,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,1074,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,62,O,5,6,Offense,Goal,Roney,Repasky,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,1083,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,16,D,5,7,Defense,Pull,,,Dustin,5.415,Patterso,Dustin,Lootens,Clary,Anderson,O'Bryan,Chard,,,,,,,,,,,,,,,,,,,,,,1140,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,16,D,5,7,Defense,Goal,,,Anonymous,,Patterso,Dustin,Lootens,Clary,Anderson,O'Bryan,Chard,,,,,,,,,,,,,,,,,,,,,,1154,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,26,O,6,7,Offense,Catch,Lane,Roney,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,1202,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,26,O,6,7,Offense,Catch,Roney,Repasky,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,1211,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,26,O,6,7,Offense,Catch,Repasky,Vickroy,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,1214,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,26,O,6,7,Offense,Catch,Vickroy,Seuntjen,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,1219,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,26,O,6,7,Offense,Catch,Seuntjen,Roney,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,1223,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,26,O,6,7,Offense,Goal,Roney,Franklin,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,1226,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,131,D,6,8,Defense,PullOb,,,Anonymous,,Roney,Patterso,Lootens,Seuntjen,Clary,O'Bryan,Chard,,,,,,,,,,,,,,,,,,,,,,1289,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,131,D,6,8,Defense,Goal,,,Anonymous,,Roney,Patterso,Lootens,Seuntjen,Clary,O'Bryan,Chard,,,,,,,,,,,,,,,,,,,,,,1418,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,32,O,6,9,Offense,Catch,Lane,Roney,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,1467,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,32,O,6,9,Offense,Catch,Roney,Vickroy,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,1476,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,32,O,6,9,Offense,Catch,Vickroy,Roney,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,1480,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,32,O,6,9,Offense,Catch,Roney,Hiser,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,1484,,,,,,,,,,
6/22/2019 0:00,AUDL,Dallas Roughnecks,32,O,6,9,Offense,Throwaway,Hiser,Anonymous,,,Franklin,Roney,Hiser,Seuntjen,Lane,Vickroy,Repasky,,,,,,,,,,,,,,,,,,,,,,1488,,,,,,,,,,
